RollNumber,Name,Marks,Course
75383,Sai Gupta,58.43,MTH-301
16075,Arjun Gupta,73.79,MTH-301
20614,Vivaan Reddy,65.59,ECE-201
42355,Vivaan Sharma,80.44,PHY-101
41798,Aarav Singh,42.97,ECE-201
32184,Ishaan Malhotra,77.41,ECE-201
29258,Krishna Verma,90.0,CSE-101
42937,Aditya Joshi,80.12,CSE-101
51022,Ishaan Singh,57.89,PHY-101
48650,Shaurya Malhotra,80.12,HUM-101
55479,Aditya Sharma,44.61,ECE-201
49658,Aditya Verma,62.42,ECE-201
64761,Vihaan Joshi,70.71,CSE-101
77206,Reyansh Gupta,99.91,HUM-101
78983,Ayaan Gupta,71.18,MTH-301
87934,Aditya Das,69.14,PHY-101
88295,Reyansh Joshi,35.83,MTH-301
73913,Reyansh Reddy,57.49,MTH-301
80711,Aditya Joshi,41.46,HUM-101
75683,Reyansh Verma,95.9,PHY-101
64590,Aarav Kumar,64.49,PHY-101
28883,Vivaan Kumar,47.88,PHY-101
64436,Sai Das,85.75,HUM-101
63982,Ayaan Reddy,42.04,ECE-201
46811,Vihaan Reddy,49.04,CSE-101
31214,Ayaan Joshi,67.62,CSE-101
69331,Aarav Joshi,42.41,MTH-301
70477,Shaurya Kumar,92.58,HUM-101
89331,Reyansh Kumar,51.71,MTH-301
30300,Shaurya Kumar,66.0,ECE-201
33227,Arjun Patel,85.83,CSE-101
31187,Arjun Reddy,40.21,MTH-301
35800,Shaurya Singh,76.49,CSE-101
46963,Sai Joshi,92.56,PHY-101
18824,Sai Patel,69.82,ECE-201
26818,Ayaan Patel,81.28,CSE-101
68640,Krishna Joshi,77.0,ECE-201
49397,Vihaan Joshi,73.21,ECE-201
99820,Aditya Singh,80.21,ECE-201
62296,Reyansh Kumar,64.69,CSE-101
86153,Arjun Gupta,40.75,MTH-301
76594,Shaurya Malhotra,52.34,MTH-301
80000,Aarav Reddy,42.66,ECE-201
49443,Vihaan Joshi,51.93,CSE-101
57817,Ishaan Singh,40.63,PHY-101
63908,Aarav Joshi,68.3,PHY-101
13464,Ayaan Reddy,55.27,HUM-101
42983,Ishaan Reddy,68.32,CSE-101
71703,Reyansh Kumar,36.13,ECE-201
75639,Ishaan Kumar,50.2,MTH-301
38617,Aditya Kumar,60.47,HUM-101
43176,Ishaan Joshi,73.16,PHY-101
82005,Aditya Patel,37.02,ECE-201
46821,Ayaan Malhotra,52.12,MTH-301
94076,Vihaan Das,97.39,MTH-301
30606,Krishna Kumar,43.72,MTH-301
46958,Shaurya Joshi,84.83,MTH-301
19305,Ayaan Das,35.22,HUM-101
15160,Vivaan Singh,67.96,HUM-101
53940,Aditya Malhotra,80.92,PHY-101
48486,Arjun Joshi,42.19,MTH-301
55781,Ishaan Verma,52.25,ECE-201
39028,Sai Reddy,78.64,CSE-101
16509,Shaurya Patel,74.38,HUM-101
54626,Aarav Kumar,68.77,PHY-101
24912,Vihaan Singh,92.34,ECE-201
98457,Vihaan Das,37.78,CSE-101
46711,Aarav Verma,67.34,HUM-101
66913,Aarav Gupta,95.72,CSE-101
60456,Arjun Reddy,96.62,PHY-101
41642,Sai Gupta,49.2,CSE-101
68649,Aditya Gupta,86.7,PHY-101
64484,Sai Gupta,68.62,MTH-301
63927,Arjun Malhotra,37.42,CSE-101
71341,Ishaan Malhotra,38.83,ECE-201
59179,Vihaan Kumar,53.99,MTH-301
67090,Reyansh Sharma,43.24,MTH-301
20827,Aditya Singh,59.72,PHY-101
69820,Shaurya Verma,56.43,MTH-301
78586,Shaurya Das,49.18,PHY-101
70185,Krishna Kumar,54.54,HUM-101
22830,Ishaan Singh,59.4,CSE-101
28530,Vivaan Sharma,90.94,HUM-101
61617,Aarav Patel,52.82,CSE-101
61138,Ishaan Sharma,44.11,ECE-201
96032,Sai Sharma,87.27,ECE-201
54759,Aarav Kumar,53.03,CSE-101
21803,Vihaan Patel,35.02,HUM-101
14173,Vihaan Sharma,62.98,CSE-101
99249,Sai Das,61.34,MTH-301
96245,Ayaan Singh,92.3,CSE-101
78952,Vivaan Verma,50.43,HUM-101
71875,Aarav Verma,86.95,HUM-101
14269,Vivaan Patel,68.71,MTH-301
66246,Aditya Reddy,51.35,CSE-101
11785,Reyansh Kumar,91.26,CSE-101
38846,Shaurya Verma,99.81,PHY-101
54817,Ayaan Reddy,39.1,MTH-301
91705,Ishaan Joshi,69.13,MTH-301
80603,Sai Reddy,60.78,CSE-101
71126,Ayaan Joshi,98.94,MTH-301
29934,Aarav Das,64.21,CSE-101
13339,Aarav Gupta,89.51,HUM-101
84300,Sai Malhotra,37.81,CSE-101
76012,Vivaan Reddy,81.08,CSE-101
46195,Krishna Das,82.86,MTH-301
47903,Arjun Patel,94.52,HUM-101
18028,Ishaan Verma,83.67,ECE-201
20408,Arjun Patel,71.84,ECE-201
26191,Shaurya Verma,55.9,HUM-101
69145,Ishaan Patel,95.58,HUM-101
84863,Vivaan Gupta,53.45,ECE-201
97017,Aarav Malhotra,68.53,MTH-301
18009,Aditya Malhotra,96.47,MTH-301
12423,Aarav Malhotra,98.93,PHY-101
94903,Sai Verma,55.45,HUM-101
24436,Reyansh Kumar,79.25,CSE-101
70887,Aarav Gupta,46.47,MTH-301
21141,Aditya Das,65.42,PHY-101
52208,Reyansh Joshi,85.7,HUM-101
32215,Vihaan Gupta,93.96,PHY-101
73984,Ayaan Malhotra,40.3,MTH-301
58450,Ishaan Sharma,97.32,ECE-201
42584,Vivaan Das,37.54,MTH-301
72841,Aarav Verma,63.22,PHY-101
60655,Arjun Sharma,48.91,ECE-201
90406,Aarav Gupta,53.38,ECE-201
28501,Arjun Singh,71.41,PHY-101
75493,Ayaan Singh,36.51,HUM-101
98242,Aarav Sharma,41.01,PHY-101
45186,Shaurya Joshi,89.73,HUM-101
49106,Shaurya Joshi,48.9,MTH-301
77001,Reyansh Reddy,40.94,HUM-101
54641,Vihaan Sharma,57.03,PHY-101
72631,Arjun Gupta,81.91,HUM-101
22364,Sai Singh,89.97,HUM-101
20805,Arjun Joshi,90.29,MTH-301
77291,Sai Gupta,74.3,PHY-101
28887,Vihaan Malhotra,66.38,PHY-101
29820,Krishna Kumar,35.57,PHY-101
32574,Arjun Sharma,98.89,ECE-201
69843,Sai Sharma,78.71,MTH-301
55777,Shaurya Verma,94.53,CSE-101
74387,Shaurya Kumar,46.26,MTH-301
42282,Sai Joshi,88.03,PHY-101
96813,Shaurya Reddy,89.23,MTH-301
99644,Ayaan Malhotra,55.64,HUM-101
37299,Aditya Joshi,88.0,ECE-201
15866,Vivaan Gupta,36.29,PHY-101
70953,Krishna Kumar,49.96,MTH-301
30229,Sai Joshi,67.68,HUM-101
68934,Ishaan Kumar,57.4,ECE-201
18772,Shaurya Reddy,59.73,ECE-201
42799,Krishna Das,78.84,PHY-101
14488,Vivaan Reddy,46.5,MTH-301
29633,Krishna Gupta,84.3,MTH-301
53334,Shaurya Das,81.04,CSE-101
33152,Sai Kumar,97.92,PHY-101
73925,Shaurya Malhotra,99.29,MTH-301
69944,Sai Reddy,84.64,ECE-201
82546,Shaurya Singh,81.77,ECE-201
74218,Vivaan Joshi,94.85,MTH-301
78030,Shaurya Malhotra,66.75,PHY-101
18965,Vihaan Verma,37.68,PHY-101
64203,Sai Gupta,55.04,HUM-101
97074,Ayaan Kumar,62.63,HUM-101
13157,Ayaan Verma,83.91,PHY-101
89650,Aditya Das,62.26,MTH-301
80597,Vivaan Singh,41.6,PHY-101
63670,Vivaan Gupta,74.32,MTH-301
36156,Aditya Kumar,82.43,PHY-101
61576,Vihaan Patel,74.11,MTH-301
57064,Arjun Verma,97.02,ECE-201
62679,Vihaan Malhotra,53.54,MTH-301
65312,Ayaan Das,97.67,ECE-201
32977,Krishna Singh,50.28,MTH-301
89463,Reyansh Malhotra,64.63,HUM-101
36478,Vivaan Kumar,35.66,PHY-101
28527,Ishaan Kumar,69.11,PHY-101
90049,Sai Reddy,81.85,CSE-101
66193,Krishna Kumar,97.23,ECE-201
51497,Sai Singh,78.73,CSE-101
66674,Vihaan Gupta,78.09,ECE-201
18903,Reyansh Gupta,98.16,HUM-101
18417,Aditya Singh,54.98,HUM-101
35699,Aarav Verma,78.84,HUM-101
67290,Ayaan Das,97.07,MTH-301
99147,Vivaan Malhotra,43.66,HUM-101
14697,Vivaan Gupta,64.55,MTH-301
44001,Reyansh Malhotra,84.07,MTH-301
92555,Aditya Singh,50.84,ECE-201
97013,Ishaan Singh,92.1,MTH-301
17451,Krishna Kumar,56.75,CSE-101
36682,Reyansh Reddy,52.56,MTH-301
25487,Vihaan Verma,40.63,CSE-101
76532,Vivaan Das,71.27,ECE-201
13893,Reyansh Malhotra,42.94,HUM-101
48266,Aarav Patel,87.86,ECE-201
15831,Aarav Reddy,75.86,HUM-101
44819,Vihaan Sharma,78.87,HUM-101
66756,Vihaan Gupta,80.47,CSE-101
59511,Sai Verma,86.54,CSE-101
29070,Ayaan Patel,74.16,HUM-101
41747,Reyansh Malhotra,97.87,CSE-101
21449,Krishna Patel,36.21,MTH-301
77290,Krishna Joshi,38.44,PHY-101
50214,Vihaan Reddy,81.06,HUM-101
97092,Krishna Kumar,66.74,CSE-101
19616,Vihaan Singh,42.29,HUM-101
22863,Reyansh Reddy,92.4,PHY-101
64261,Vihaan Gupta,41.3,CSE-101
10752,Aarav Kumar,60.87,ECE-201
32093,Shaurya Kumar,88.04,MTH-301
15764,Aditya Malhotra,91.03,ECE-201
77441,Arjun Gupta,53.52,CSE-101
34739,Sai Reddy,70.66,MTH-301
49234,Vihaan Sharma,70.78,ECE-201
76956,Vivaan Gupta,61.9,PHY-101
36392,Reyansh Sharma,47.96,PHY-101
23206,Arjun Singh,72.5,HUM-101
93251,Aditya Reddy,68.26,HUM-101
57689,Shaurya Sharma,44.2,MTH-301
32137,Krishna Kumar,47.35,HUM-101
83760,Vivaan Sharma,46.94,ECE-201
64250,Ishaan Sharma,82.79,MTH-301
91962,Ishaan Patel,83.06,PHY-101
91860,Krishna Das,50.68,PHY-101
87251,Ayaan Kumar,46.17,MTH-301
52926,Ishaan Kumar,37.18,MTH-301
24139,Vivaan Patel,46.21,ECE-201
38798,Sai Reddy,58.74,HUM-101
27098,Reyansh Reddy,60.47,PHY-101
17356,Vihaan Gupta,62.61,HUM-101
74062,Vivaan Kumar,85.18,HUM-101
81776,Sai Reddy,99.64,ECE-201
77370,Vihaan Kumar,83.39,PHY-101
43675,Vivaan Kumar,83.13,ECE-201
30571,Shaurya Gupta,52.75,PHY-101
13827,Aditya Reddy,84.19,PHY-101
46116,Vihaan Verma,54.51,ECE-201
29639,Aditya Kumar,80.57,CSE-101
85232,Ayaan Kumar,38.6,HUM-101
38528,Vivaan Joshi,57.62,CSE-101
54025,Ishaan Kumar,74.8,PHY-101
31433,Aditya Joshi,95.51,PHY-101
43636,Krishna Verma,93.44,ECE-201
84791,Vihaan Verma,86.05,CSE-101
75523,Krishna Patel,55.54,PHY-101
55326,Aarav Gupta,57.5,HUM-101
81859,Reyansh Sharma,85.16,HUM-101
39478,Ishaan Verma,40.36,HUM-101
36660,Krishna Singh,42.64,PHY-101
71634,Ishaan Das,90.01,CSE-101
71844,Krishna Singh,39.97,ECE-201
73786,Ishaan Patel,61.25,CSE-101
95427,Krishna Patel,36.82,ECE-201
95596,Sai Patel,78.38,CSE-101
94618,Sai Verma,53.86,PHY-101
50693,Vihaan Kumar,47.11,ECE-201
18728,Aditya Malhotra,82.1,PHY-101
55071,Arjun Verma,73.31,PHY-101
97790,Ishaan Das,60.57,HUM-101
97835,Shaurya Malhotra,98.98,MTH-301
52317,Krishna Reddy,68.86,MTH-301
66465,Vivaan Reddy,58.46,PHY-101
14191,Ayaan Kumar,46.74,PHY-101
99607,Vivaan Verma,93.18,MTH-301
28014,Reyansh Kumar,37.12,HUM-101
14839,Vivaan Patel,96.4,PHY-101
80254,Reyansh Sharma,67.38,MTH-301
23979,Aarav Verma,92.52,HUM-101
27694,Vivaan Patel,65.79,CSE-101
66284,Ayaan Joshi,85.89,CSE-101
25170,Vivaan Reddy,69.46,PHY-101
80335,Arjun Joshi,77.93,CSE-101
40293,Ayaan Kumar,95.07,PHY-101
26930,Aarav Patel,38.89,ECE-201
24649,Ishaan Verma,80.15,ECE-201
89982,Vihaan Joshi,51.78,CSE-101
26243,Aditya Verma,36.6,ECE-201
22525,Reyansh Verma,73.19,HUM-101
97516,Vivaan Singh,82.52,MTH-301
74780,Ayaan Singh,64.66,PHY-101
35628,Reyansh Verma,51.69,ECE-201
44491,Vihaan Gupta,55.69,MTH-301
31920,Arjun Joshi,91.69,HUM-101
75832,Arjun Joshi,48.34,HUM-101
93521,Krishna Singh,70.22,CSE-101
52144,Aditya Verma,56.82,CSE-101
45185,Reyansh Patel,43.05,CSE-101
77068,Aditya Verma,50.49,MTH-301
33623,Reyansh Sharma,43.82,PHY-101
74296,Sai Das,83.69,CSE-101
39053,Shaurya Patel,88.95,PHY-101
98467,Krishna Verma,66.74,HUM-101
14170,Krishna Singh,60.73,CSE-101
58845,Krishna Malhotra,88.84,PHY-101
78875,Sai Reddy,42.44,MTH-301
18142,Vihaan Reddy,37.47,CSE-101
45831,Vivaan Das,42.76,CSE-101
12693,Sai Joshi,51.07,CSE-101
33485,Aarav Gupta,72.93,ECE-201
28193,Shaurya Verma,92.82,CSE-101
24124,Sai Das,44.68,HUM-101
87760,Vivaan Verma,98.57,HUM-101
33052,Sai Joshi,43.87,MTH-301
31169,Vivaan Verma,57.21,PHY-101
43073,Sai Gupta,69.83,HUM-101
47783,Sai Kumar,89.24,CSE-101
18525,Arjun Singh,84.35,ECE-201
16215,Sai Malhotra,40.13,PHY-101
77323,Arjun Joshi,40.89,ECE-201
67664,Reyansh Das,88.03,CSE-101
54658,Krishna Singh,79.2,HUM-101
95689,Shaurya Das,90.4,MTH-301
69380,Sai Verma,79.46,ECE-201
78477,Vivaan Das,84.94,MTH-301
66054,Aarav Das,82.33,PHY-101
98004,Krishna Malhotra,97.28,CSE-101
96718,Shaurya Gupta,76.19,CSE-101
69172,Aarav Sharma,63.16,ECE-201
94826,Shaurya Das,82.15,CSE-101
56346,Aarav Kumar,58.47,CSE-101
11062,Reyansh Kumar,81.21,PHY-101
45554,Ayaan Patel,45.52,ECE-201
38301,Ayaan Patel,62.88,ECE-201
91954,Krishna Singh,61.0,ECE-201
16070,Krishna Joshi,80.3,MTH-301
55858,Ishaan Gupta,42.83,CSE-101
57948,Reyansh Verma,98.12,HUM-101
58760,Vihaan Joshi,68.33,CSE-101
21071,Reyansh Kumar,58.85,HUM-101
35706,Aditya Reddy,56.65,ECE-201
23912,Krishna Kumar,71.23,PHY-101
75519,Vivaan Kumar,63.23,HUM-101
54453,Krishna Reddy,63.58,ECE-201
48077,Shaurya Patel,59.48,CSE-101
30791,Vivaan Patel,43.82,MTH-301
82963,Reyansh Malhotra,85.83,CSE-101
32115,Ishaan Kumar,99.74,ECE-201
99244,Reyansh Kumar,90.24,MTH-301
45315,Ishaan Verma,88.4,CSE-101
76578,Sai Reddy,98.85,CSE-101
40289,Ishaan Singh,72.84,CSE-101
17151,Shaurya Reddy,38.32,MTH-301
13572,Vihaan Sharma,75.28,ECE-201
60293,Reyansh Kumar,44.46,ECE-201
39245,Ayaan Das,52.77,ECE-201
56718,Ayaan Singh,56.66,MTH-301
71749,Arjun Kumar,77.84,PHY-101
51276,Sai Patel,71.65,MTH-301
54643,Vivaan Verma,58.19,MTH-301
95717,Ishaan Kumar,36.82,HUM-101
57988,Krishna Gupta,67.36,ECE-201
81283,Reyansh Malhotra,82.35,ECE-201
70672,Krishna Malhotra,57.66,PHY-101
90467,Reyansh Malhotra,95.11,ECE-201
74817,Shaurya Malhotra,74.08,PHY-101
90184,Ayaan Kumar,77.34,HUM-101
28003,Vivaan Singh,61.82,ECE-201
53915,Shaurya Gupta,91.0,MTH-301
64259,Reyansh Singh,50.12,CSE-101
95582,Sai Malhotra,75.02,MTH-301
90616,Sai Sharma,63.15,CSE-101
31981,Ayaan Gupta,56.77,CSE-101
33670,Krishna Verma,61.91,PHY-101
14945,Ishaan Gupta,43.78,ECE-201
92260,Vihaan Kumar,47.92,PHY-101
79217,Arjun Malhotra,78.05,MTH-301
60420,Aditya Kumar,54.67,ECE-201
88969,Sai Reddy,60.14,PHY-101
78420,Krishna Joshi,55.0,CSE-101
81558,Arjun Reddy,61.0,CSE-101
69596,Vivaan Joshi,57.76,MTH-301
88863,Sai Gupta,36.78,CSE-101
78779,Krishna Malhotra,63.98,PHY-101
65521,Krishna Verma,98.7,MTH-301
57835,Arjun Singh,80.78,CSE-101
40196,Sai Gupta,53.86,PHY-101
72391,Ishaan Malhotra,80.73,ECE-201
68036,Vihaan Malhotra,45.36,ECE-201
48100,Shaurya Malhotra,97.26,HUM-101
20091,Vihaan Singh,82.8,ECE-201
51963,Vihaan Patel,93.76,CSE-101
79084,Vivaan Das,44.19,PHY-101
98811,Vihaan Kumar,60.23,ECE-201
12839,Ayaan Verma,75.31,MTH-301
14132,Reyansh Malhotra,95.23,CSE-101
41649,Ishaan Malhotra,69.6,MTH-301
39569,Aditya Malhotra,37.56,PHY-101
78148,Aarav Singh,63.82,HUM-101
43189,Arjun Kumar,92.83,CSE-101
59327,Krishna Reddy,79.36,CSE-101
92152,Ishaan Reddy,66.02,PHY-101
40598,Vivaan Gupta,94.65,HUM-101
79425,Vivaan Das,88.17,ECE-201
77094,Aarav Das,58.22,HUM-101
43021,Aditya Gupta,39.99,CSE-101
83765,Vihaan Patel,91.84,ECE-201
42143,Aditya Kumar,49.92,CSE-101
33522,Aarav Patel,65.49,CSE-101
71864,Sai Joshi,61.16,PHY-101
26851,Shaurya Malhotra,39.9,ECE-201
48054,Vihaan Sharma,61.48,HUM-101
65241,Sai Patel,76.43,ECE-201
33008,Krishna Singh,37.4,ECE-201
23539,Aarav Patel,40.6,CSE-101
22881,Aditya Verma,55.41,HUM-101
36113,Krishna Patel,81.78,MTH-301
62073,Krishna Patel,70.13,PHY-101
82344,Arjun Das,47.59,PHY-101
91098,Vivaan Das,59.69,HUM-101
26649,Vivaan Patel,98.78,MTH-301
69954,Shaurya Reddy,99.98,ECE-201
54799,Arjun Singh,89.09,HUM-101
90599,Aditya Gupta,80.4,HUM-101
79944,Krishna Reddy,50.76,ECE-201
57981,Krishna Verma,46.25,ECE-201
56273,Krishna Patel,95.54,ECE-201
62750,Vivaan Joshi,94.93,PHY-101
15282,Sai Joshi,36.95,CSE-101
88945,Ishaan Singh,56.17,ECE-201
91123,Krishna Gupta,55.89,HUM-101
75709,Sai Joshi,39.01,PHY-101
79438,Shaurya Das,52.8,MTH-301
93644,Arjun Singh,89.18,ECE-201
59821,Ayaan Malhotra,49.07,MTH-301
74254,Sai Kumar,69.08,PHY-101
37547,Aditya Joshi,59.95,MTH-301
75309,Arjun Reddy,82.19,PHY-101
53529,Ayaan Sharma,60.98,MTH-301
35270,Aarav Verma,36.36,HUM-101
96068,Sai Kumar,87.64,PHY-101
77363,Ayaan Reddy,48.11,ECE-201
94437,Vihaan Kumar,44.98,HUM-101
67978,Sai Verma,40.96,HUM-101
13544,Sai Kumar,84.89,ECE-201
65874,Ishaan Das,42.41,CSE-101
93489,Ishaan Joshi,55.88,HUM-101
80160,Arjun Das,70.07,ECE-201
50102,Ishaan Verma,51.02,MTH-301
29454,Reyansh Singh,64.78,CSE-101
56879,Shaurya Verma,63.87,HUM-101
69420,Vihaan Gupta,83.48,ECE-201
15297,Aditya Singh,98.97,CSE-101
21996,Krishna Malhotra,36.9,MTH-301
53316,Aarav Patel,56.55,CSE-101
13426,Aditya Reddy,62.01,PHY-101
91099,Vivaan Reddy,44.56,CSE-101
35859,Ayaan Malhotra,52.51,HUM-101
32747,Krishna Verma,65.94,PHY-101
33031,Vihaan Singh,37.52,HUM-101
92927,Arjun Sharma,63.19,MTH-301
10664,Aarav Patel,42.52,CSE-101
35417,Vihaan Malhotra,93.01,ECE-201
87575,Vivaan Reddy,89.71,ECE-201
46802,Krishna Joshi,39.74,CSE-101
47472,Krishna Kumar,84.77,MTH-301
72351,Ayaan Kumar,51.35,CSE-101
74752,Ishaan Reddy,65.45,ECE-201
36018,Krishna Singh,41.52,PHY-101
82118,Sai Malhotra,97.75,CSE-101
69969,Aarav Reddy,39.62,HUM-101
84309,Aditya Das,95.3,PHY-101
25794,Reyansh Patel,98.89,HUM-101
14151,Reyansh Verma,55.06,HUM-101
60323,Arjun Sharma,92.64,MTH-301
29736,Krishna Gupta,69.48,CSE-101
12225,Reyansh Sharma,99.58,PHY-101
66844,Vivaan Sharma,41.69,CSE-101
71228,Aarav Gupta,71.04,ECE-201
74480,Shaurya Patel,81.73,HUM-101
97830,Vivaan Malhotra,49.44,MTH-301
87814,Shaurya Patel,49.28,CSE-101
12334,Krishna Joshi,77.45,CSE-101
73324,Shaurya Singh,66.57,CSE-101
83025,Arjun Gupta,44.09,PHY-101
20601,Aarav Reddy,58.79,ECE-201
96101,Ayaan Gupta,52.72,MTH-301
86395,Arjun Singh,52.22,MTH-301
20401,Aarav Joshi,42.49,CSE-101
46324,Vihaan Sharma,84.21,ECE-201
14356,Vivaan Gupta,68.87,HUM-101
54420,Shaurya Reddy,70.39,MTH-301
25770,Ayaan Singh,95.48,MTH-301
37204,Aditya Malhotra,78.66,HUM-101
11941,Reyansh Patel,98.08,HUM-101
64470,Vihaan Reddy,37.16,ECE-201
67779,Ayaan Joshi,63.82,CSE-101
99182,Vivaan Singh,37.15,PHY-101
87253,Sai Gupta,98.77,HUM-101
26916,Reyansh Das,76.2,HUM-101
99949,Krishna Joshi,82.84,CSE-101
36994,Reyansh Gupta,43.78,MTH-301
90216,Krishna Das,91.01,CSE-101
15997,Reyansh Kumar,37.03,PHY-101
61759,Ayaan Verma,99.45,ECE-201
73437,Sai Kumar,66.1,MTH-301
76179,Aditya Joshi,64.68,CSE-101
42926,Vivaan Singh,64.09,CSE-101
88861,Ayaan Singh,80.36,HUM-101
29947,Krishna Kumar,97.5,CSE-101
25451,Sai Joshi,75.69,HUM-101
17866,Vihaan Das,55.91,ECE-201
66015,Ishaan Verma,67.8,PHY-101
66276,Vihaan Kumar,64.39,PHY-101
86423,Aarav Verma,46.92,HUM-101
60526,Ishaan Sharma,99.7,PHY-101
64667,Aditya Singh,98.53,HUM-101
32204,Sai Gupta,79.27,ECE-201
69492,Ishaan Kumar,72.41,HUM-101
20246,Ayaan Singh,44.85,ECE-201
69060,Vihaan Patel,78.18,MTH-301
88633,Arjun Reddy,70.95,PHY-101
91772,Vihaan Das,36.34,PHY-101
42418,Vihaan Patel,36.9,PHY-101
27054,Vihaan Reddy,40.4,HUM-101
83086,Vivaan Patel,54.64,PHY-101
74063,Arjun Das,88.86,PHY-101
29909,Shaurya Sharma,68.44,ECE-201
65300,Shaurya Singh,87.6,CSE-101
29898,Vivaan Das,46.69,MTH-301
57782,Vivaan Singh,97.77,ECE-201
91181,Vihaan Reddy,35.23,MTH-301
51466,Sai Malhotra,63.55,ECE-201
37219,Reyansh Das,43.59,ECE-201
56401,Reyansh Verma,50.94,HUM-101
87492,Krishna Patel,49.98,MTH-301
26265,Reyansh Patel,53.79,CSE-101
40319,Vivaan Gupta,86.52,ECE-201
46443,Aarav Joshi,93.74,CSE-101
13478,Aditya Gupta,59.4,PHY-101
46432,Reyansh Kumar,93.89,MTH-301
93693,Aditya Singh,61.61,HUM-101
72073,Ayaan Singh,53.11,MTH-301
58785,Sai Reddy,92.63,ECE-201
69822,Sai Gupta,93.32,ECE-201
40575,Ayaan Patel,70.16,CSE-101
78141,Ayaan Kumar,96.39,MTH-301
96682,Arjun Verma,93.1,HUM-101
58660,Arjun Sharma,57.39,ECE-201
59279,Aarav Gupta,38.5,HUM-101
72770,Krishna Das,90.66,ECE-201
89625,Sai Kumar,57.99,MTH-301
46442,Vivaan Singh,67.69,HUM-101
95304,Reyansh Sharma,67.58,CSE-101
83469,Ishaan Malhotra,55.45,PHY-101
31716,Shaurya Das,44.23,PHY-101
50639,Ayaan Reddy,90.79,PHY-101
77047,Aarav Malhotra,63.73,PHY-101
26917,Aarav Malhotra,43.68,MTH-301
33198,Aarav Gupta,63.25,HUM-101
67152,Ishaan Gupta,70.6,ECE-201
35108,Sai Reddy,46.97,CSE-101
34299,Arjun Gupta,64.17,PHY-101
10234,Krishna Reddy,72.71,MTH-301
28099,Ayaan Das,53.86,HUM-101
35457,Shaurya Sharma,72.94,MTH-301
95153,Aarav Sharma,70.59,MTH-301
21730,Aditya Reddy,62.59,PHY-101
22351,Ayaan Singh,96.7,HUM-101
33091,Vihaan Malhotra,95.41,MTH-301
98812,Arjun Singh,56.8,PHY-101
65349,Reyansh Malhotra,78.67,PHY-101
39955,Krishna Das,90.32,MTH-301
23338,Ishaan Sharma,59.61,ECE-201
26950,Sai Das,90.3,CSE-101
97844,Vivaan Verma,41.91,CSE-101
34048,Arjun Gupta,53.38,HUM-101
19021,Arjun Malhotra,46.72,MTH-301
98573,Shaurya Kumar,44.57,CSE-101
18582,Aarav Reddy,42.19,ECE-201
40812,Aarav Gupta,47.18,MTH-301
49688,Ayaan Reddy,69.1,CSE-101
70129,Krishna Kumar,38.21,CSE-101
40482,Sai Das,37.48,HUM-101
85365,Krishna Sharma,61.89,MTH-301
21697,Shaurya Verma,63.52,MTH-301
98292,Ayaan Das,60.14,CSE-101
69921,Sai Singh,94.95,PHY-101
35931,Sai Patel,98.23,MTH-301
86545,Krishna Kumar,51.8,MTH-301
65965,Krishna Reddy,47.43,ECE-201
68343,Shaurya Gupta,95.11,MTH-301
46950,Vihaan Verma,68.84,HUM-101
